company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
005380,2017-08-12,22,5,1.9090909090909092,0.22727272727272727
005930,2017-08-06,43,7,2.046511627906977,0.16279069767441862
005930,2017-08-07,199,38,1.9195979899497488,0.19095477386934673
005930,2017-08-08,131,20,1.9541984732824427,0.15267175572519084
005930,2017-08-09,318,79,1.8962264150943395,0.24842767295597484
005930,2017-08-10,287,47,1.7526132404181185,0.16376306620209058
005930,2017-08-11,564,164,1.9148936170212767,0.2907801418439716
005930,2017-08-12,107,16,1.925233644859813,0.14953271028037382
033100,2017-08-06,13,3,2.1538461538461537,0.23076923076923078
033100,2017-08-07,23,6,2.260869565217391,0.2608695652173913
033100,2017-08-08,7,2,2.0,0.2857142857142857
033100,2017-08-09,13,3,2.076923076923077,0.23076923076923078
033100,2017-08-10,77,18,2.103896103896104,0.23376623376623376
033100,2017-08-11,60,16,2.15,0.26666666666666666
033100,2017-08-12,22,3,1.9090909090909092,0.13636363636363635
080220,2017-08-06,1,0,2.0,0.0
080220,2017-08-07,3,1,2.6666666666666665,0.3333333333333333
080220,2017-08-08,1,0,2.0,0.0
080220,2017-08-09,2,0,2.0,0.0
080220,2017-08-10,9,1,1.7777777777777777,0.1111111111111111
080220,2017-08-11,2,0,1.5,0.0
105560,2017-08-06,1,0,2.0,0.0
105560,2017-08-07,3,1,2.3333333333333335,0.3333333333333333
105560,2017-08-08,2,0,2.0,0.0
105560,2017-08-09,4,2,2.25,0.5
105560,2017-08-10,2,0,1.5,0.0
105560,2017-08-11,3,1,1.3333333333333333,0.3333333333333333
190510,2017-08-06,1,1,4.0,1.0
190510,2017-08-09,1,0,0.0,0.0
190510,2017-08-10,3,0,1.6666666666666667,0.0
190510,2017-08-11,2,1,2.5,0.5
000660,2017-08-13,127,15,1.68503937007874,0.11811023622047244
000660,2017-08-14,294,81,2.0136054421768708,0.2755102040816326
000660,2017-08-15,85,27,2.1176470588235294,0.3176470588235294
